ticker,label,etf_type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
VTI,US Total Stock Market,stock,-37.04,28.76,17.28,1.08,16.44,33.51,12.58,0.4,12.68,21.19,-5.17
VTV,US Value Stock - Large Cap,stock,-36,19.54,14.54,1.24,15.23,33.15,13.29,-0.86,16.93,17.16,-5.4
VO,US Mid Cap,stock,-41.79,40.49,25.57,-1.96,15.98,35.15,13.76,-1.34,11.23,19.25,-9.21
VBR,US Value Stock - Small Cap,stock,-32.11,30.29,25.01,-4.04,18.8,36.67,10.63,-4.64,24.82,11.83,-12.27
VEA,International Developed Market Stocks,stock,-43.38,31.78,7.75,-12.14,17.32,22.71,-4.85,-0.28,2.29,26.31,-14.79
VWO,International Emerging Market Stocks,stock,-53.33,78.51,18.88,-18.42,18.22,-4.28,1.24,-15.4,11.77,31.06,-14.76
SPY,S&P 500 ETF,stock,-36.97,26.42,14.93,2.06,15.84,32.21,13.53,1.34,11.8,21.69,-4.45
VBLTX,US Long-term Bonds,bond,8.44,1.92,10.16,22.49,8.79,-8.83,19.31,-3.31,6.68,10.72,-4.68
AGG,US High Quality Bonds,bond,5.88,5.14,6.3,7.58,4.04,-2.15,6.04,0.48,2.56,3.53,-0.05
MUB,US Municipal Bonds,bond,-0.96,10.56,1.4,10.85,6.14,-3.26,8.61,2.99,0.06,4.61,0.86
BWX,International Treasury Bonds,bond,4.41,6.51,4.13,3.6,5.85,-3.66,-2.49,-6.99,1.03,10.15,-2.26
EMB,International Emerging Market Bonds,bond,-11.8,27.2,11.47,7.2,17.64,-7.42,6.69,0.43,9.41,9.98,-5.67
